Date,S&P500,Year,Growth
2015-01-31,2028.1785,2015.0,
2015-02-28,2082.1957894736843,2015.0,2.6633400104420835
2015-03-31,2079.9904545454547,2015.0,-0.10591390777843213
2015-04-30,2094.862857142857,2015.0,0.7150226369982304
2015-05-31,2111.9435,2015.0,0.81535852329917
2015-06-30,2099.283636363636,2015.0,-0.5994413977629454
2015-07-31,2094.1436363636367,2015.0,-0.24484542779092955
2015-08-31,2039.8661904761907,2015.0,-2.5918683391601416
2015-09-30,1944.4023809523808,2015.0,-4.679905474658841
2015-10-31,2024.8127272727272,2015.0,4.135478700708073
2015-11-30,2080.6165,2015.0,2.755996738643396
2015-12-31,2054.0795454545455,2015.0,-1.2754370901823853
2016-01-31,1918.5978947368421,2016.0,-6.595735351024235
2016-02-29,1904.4185000000002,2016.0,-0.7390498434163395
2016-03-31,2021.9540909090908,2016.0,6.171731208717546
2016-04-30,2075.535238095238,2016.0,2.649968534253744
2016-05-31,2065.5509523809524,2016.0,-0.4810463118635644
2016-06-30,2083.8913636363636,2016.0,0.887918607588456
2016-07-31,2148.902,2016.0,3.119674926345195
2016-08-31,2177.4821739130434,2016.0,1.3299896371748554
2016-09-30,2157.6909523809527,2016.0,-0.9089039519678321
2016-10-31,2143.0209523809526,2016.0,-0.6798934751898633
2016-11-30,2164.985714285714,2016.0,1.0249438709573955
2016-12-31,2246.6290476190475,2016.0,3.7710795408305797
2017-01-31,2275.116,2017.0,1.2679864711596656
2017-02-28,2329.9105263157894,2017.0,2.4084278039356866
2017-03-31,2366.822173913043,2017.0,1.584251720413521
2017-04-30,2359.3094736842104,2017.0,-0.3174171812161175
2017-05-31,2395.345909090909,2017.0,1.5274145171987774
2017-06-30,2433.9854545454546,2017.0,1.6131092093170762
2017-07-31,2454.1025,2017.0,0.8265063957952901
2017-08-31,2456.223043478261,2017.0,0.08640810554005895
2017-09-30,2492.841,2017.0,1.490823751489767
2017-10-31,2556.997272727273,2017.0,2.573620729411674
2017-11-30,2593.6057142857144,2017.0,1.4316965430078543
2017-12-31,2664.3405,2017.0,2.7272759820305303
2018-01-31,2789.8038095238094,2018.0,4.708981810838719
2018-02-28,2705.1552631578948,2018.0,-3.034211440852652
2018-03-31,2702.7738095238096,2018.0,-0.08803389833177411
2018-04-30,2653.625238095238,2018.0,-1.8184493003219893
2018-05-31,2701.4936363636366,2018.0,1.8038869084150866
2018-06-30,2754.3528571428574,2018.0,1.9566664924805188
2018-07-31,2793.6433333333334,2018.0,1.4264866641390705
2018-08-31,2857.8204347826086,2018.0,2.29725465250068
2018-09-30,2901.5005263157896,2018.0,1.5284407306193737
2018-10-31,2785.4647826086957,2018.0,-3.9991632830903345
2018-11-30,2723.229523809524,2018.0,-2.2342863276442526
2018-12-31,2567.3073684210526,2018.0,-5.725633995417024
2019-01-31,2607.3900000000003,2019.0,1.561271239742501
2019-02-28,2754.8642105263157,2019.0,5.656008902631182
2019-03-31,2803.9838095238097,2019.0,1.7830134352832427
2019-04-30,2903.8,2019.0,3.559799102161798
2019-05-31,2854.7059090909092,2019.0,-1.690684307083512
2019-06-30,2890.166,2019.0,1.2421626618758452
2019-07-31,2996.1136363636365,2019.0,3.6657976172869144
2019-08-31,2897.498181818182,2019.0,-3.2914457365223138
2019-09-30,2982.156,2019.0,2.9217556964503455
2019-10-31,2977.675217391304,2019.0,-0.15025312588260453
2019-11-30,3104.9044999999996,2019.0,4.272772324718455
2019-12-31,3176.749523809524,2019.0,2.3139205669457485
2020-01-31,3278.202857142857,2020.0,3.193620792981844
2020-02-29,3277.314210526316,2020.0,-0.02710773723488824
2020-03-31,2652.3936363636367,2020.0,-19.068070194658603
2020-04-30,2761.975238095238,2020.0,4.131423037262105
2020-05-31,2919.6150000000002,2020.0,5.707500912045704
2020-06-30,3104.6609090909087,2020.0,6.338024331663883
2020-07-31,3207.6190909090906,2020.0,3.3162456330321
2020-08-31,3391.71,2020.0,5.739176126387724
2020-09-30,3365.516666666667,2020.0,-0.7722751453789756
2020-10-31,3418.701363636363,2020.0,1.5802832740796413
2020-11-30,3548.9925000000003,2020.0,3.811129505182942
2020-12-31,3695.3100000000004,2020.0,4.12278977766225
2021-01-31,3793.748421052632,2021.0,2.663874507216746
2021-02-28,3883.432105263158,2021.0,2.363986070158086
2021-03-31,3910.508260869565,2021.0,0.697222324801583
2021-04-30,4141.176190476191,2021.0,5.898668771903637
2021-05-31,4167.8495,2021.0,0.6440998474093629
2021-06-30,4238.489545454546,2021.0,1.6948799483893495
2021-07-31,4363.7128571428575,2021.0,2.954432477546254
2021-08-31,4454.206363636364,2021.0,2.0737731710595897
2021-09-30,4445.543333333333,2021.0,-0.19449099560708838
2021-10-31,4460.7071428571435,2021.0,0.3411013769702764
2021-11-30,4667.386666666666,2021.0,4.633335415001971
2021-12-31,4674.772727272727,2021.0,0.1582483118188982
2022-01-31,4573.8155,2022.0,-2.159617871554287
2022-02-28,4435.98052631579,2022.0,-3.0135665438234205
2022-03-31,4391.265217391305,2022.0,-1.0080140942733573
2022-04-30,4391.296,2022.0,0.0007009963455040236
2022-05-31,4040.3599999999997,2022.0,-7.991627073192076
2022-06-30,3898.9466666666667,2022.0,-3.5000181501978256
2022-07-31,3911.7295,2022.0,0.32785350573316663
2022-08-31,4158.563043478261,2022.0,6.310087225567629
2022-09-30,3850.520476190476,2022.0,-7.407428096367996
2022-10-31,3726.050952380953,2022.0,-3.232537642097355
2022-11-30,3917.488571428571,2022.0,5.137815384013722
2022-12-31,3912.3809523809523,2022.0,-0.13037993486108013
